Voltage,D0,D1,D2,D3,D4
0.1351175308227539,124.60994720459,123.126983642578,99.2421112060547,98.0357208251953,87.3640518188477
0.13863372802734375,127.633094787598,126.18350982666,101.678756713867,100.424667358398,89.5050506591797
0.1421489715576172,130.055419921875,128.696441650391,103.738693237305,102.422622680664,91.3265686035156
0.14566421508789062,131.934219360352,130.661010742188,105.383773803711,104.015258789063,92.7904586791992
0.14918041229248047,133.059555053711,131.896072387695,106.513931274414,105.092910766602,93.8252410888672
0.1526956558227539,133.531616210938,132.492111206055,107.171966552734,105.727096557617,94.4737396240234
0.15621185302734375,133.336120605469,132.425354003906,107.343627929688,105.85107421875,94.6930847167969
0.1597270965576172,132.511184692383,131.714874267578,107.06706237793,105.560211181641,94.5548095703125
0.16324329376220703,130.78498840332,130.131713867188,106.060882568359,104.54931640625,93.796630859375
0.16675853729248047,128.434173583984,127.923965454102,104.63037109375,103.099731445313,92.6474075317383
0.1702737808227539,125.611305236816,125.22029876709,102.804092407227,101.2734375,91.1787490844727
0.17378997802734375,122.001647949219,121.744155883789,100.353149414063,98.8463439941406,89.1617279052734
0.1773052215576172,117.910339355469,117.7958984375,97.5207366943359,96.0425415039063,86.801383972168
0.18074321746826172,113.389923095703,113.394691467285,94.325927734375,92.8619842529297,84.1215591430664
0.18425846099853516,108.588172912598,108.683540344238,90.8592681884766,89.4335250854492,81.2175750732422
0.187774658203125,103.37629699707,103.576568603516,87.0398025512695,85.6474380493164,77.9655456542969
0.19128990173339844,97.8402099609375,98.140625,82.9246978759766,81.5800170898438,74.4464874267578
0.19480514526367188,92.3899154663086,92.752311706543,78.8047790527344,77.5173187255859,70.9321975708008
0.19832134246826172,86.7680053710938,87.1923904418945,74.5275497436523,73.2782363891602,67.2414321899414
0.20183658599853516,81.1317443847656,81.5847854614258,70.1597213745117,68.9580917358398,63.4601135253906
0.205352783203125,75.6481170654297,76.1201858520508,65.8681411743164,64.7189636230469,59.7360153198242
0.20886802673339844,70.207405090332,70.6985473632813,61.5909118652344,60.4894180297852,56.0023307800293
0.21238327026367188,64.8286361694336,65.3197784423828,57.3041458129883,56.2359809875488,52.2353172302246
0.21589946746826172,59.6787948608398,60.1317901611328,53.1508445739746,52.1304130554199,48.5827445983887
0.21941471099853516,54.7148704528809,55.1535606384277,49.1168022155762,48.1583595275879,45.0160026550293
0.222930908203125,50.0514030456543,50.461483001709,45.283031463623,44.353199005127,41.6113357543945
0.22636795043945312,45.6215858459473,45.9887504577637,41.5874938964844,40.7244186401367,38.3450012207031
0.22988414764404297,41.3633804321289,41.6923980712891,38.0302886962891,37.2196655273438,35.1692657470703
0.2333993911743164,37.5486831665039,37.8347854614258,34.81640625,34.048698425293,32.2939376831055
0.23691463470458984,33.9724044799805,34.2298965454102,31.7837238311768,31.0562801361084,29.5695018768311
0.2404308319091797,30.6678771972656,30.8681488037109,28.9343547821045,28.2543754577637,27.0079231262207
0.24394607543945312,27.668342590332,27.8342819213867,26.3346290588379,25.6932735443115,24.6633052825928
0.24746227264404297,24.910306930542,25.0390529632568,23.9232540130615,23.3243370056152,22.4836730957031
0.2509775161743164,22.3692321777344,22.466983795166,21.6849708557129,21.1280155181885,20.4575824737549
0.25449275970458984,20.0832653045654,20.1509761810303,19.6474361419678,19.1305446624756,18.6083984375
0.2580089569091797,18.0080604553223,18.051929473877,17.7939605712891,17.3137855529785,16.9175338745117
0.2615242004394531,16.1660346984863,16.1827239990234,16.123119354248,15.682520866394,15.3983211517334
0.26504039764404297,14.4994831085205,14.4970989227295,14.6082019805908,14.199070930481,14.0126276016235
0.2685556411743164,12.9936218261719,12.975025177002,13.2258462905884,12.8510475158691,12.7485275268555
0.27199363708496094,11.6613340377808,11.6289091110229,11.9994163513184,11.6494131088257,11.6174650192261
0.2755088806152344,10.4864025115967,10.440149307251,10.8998250961304,10.5817699432373,10.6070423126221
0.2790241241455078,9.40732002258301,9.35581684112549,9.88701820373535,9.59853172302246,9.6810245513916
0.28254032135009766,8.49369525909424,8.43456745147705,9.02489185333252,8.75738620758057,8.88374805450439
0.2860555648803711,7.63967514038086,7.57863998413086,8.20902347564697,7.96487808227539,8.12891483306885
0.28957176208496094,6.89056396484375,6.82666301727295,7.48804092407227,7.26631164550781,7.4627685546875
0.2930870056152344,6.22012615203857,6.15479946136475,6.83953762054443,6.63783550262451,6.85956478118896
0.2966032028198242,5.62646389007568,5.56017875671387,6.25970363616943,6.07802867889404,6.32073879241943
0.30011844635009766,5.09335517883301,5.02755165100098,5.7356595993042,5.57019233703613,5.83198070526123
0.3036336898803711,4.62080955505371,4.55405235290527,5.26644706726074,5.11767387390137,5.39376258850098
0.30714988708496094,4.19832706451416,4.13586139678955,4.84158515930176,4.7114086151123,4.99703407287598
0.3106651306152344,3.82448673248291,3.7624979019165,4.46202278137207,4.34519290924072,4.64035987854004
0.3141813278198242,3.49356174468994,3.43538761138916,4.12680149078369,4.02237415313721,4.32325839996338
