frame,mol2
532,18.081
533,17.567
534,17.697
535,17.347
536,18.053
537,17.736
538,17.576
539,16.957
540,16.716
541,17.009
542,17.084
543,17.450
544,16.903
545,17.341
546,17.827
547,17.615
548,17.410
549,17.242
550,16.880
551,17.115
552,16.836
553,16.962
554,16.793
555,16.367
556,16.264
557,16.337
558,16.448
559,16.671
560,16.357
561,16.600
562,16.813
563,16.718
564,16.360
565,16.578
566,16.947
567,16.284
568,16.572
569,16.169
570,16.388
571,15.887
572,16.060
573,16.253
574,15.914
575,16.032
576,15.950
577,16.126
578,16.286
579,15.934
580,16.189
581,16.597
582,16.432
583,16.541
584,16.511
585,16.571
586,16.838
587,16.527
588,16.805
589,16.713
590,16.499
591,16.521
592,16.527
593,16.007
594,16.066
595,16.055
596,16.182
597,16.351
598,16.223
599,16.160
600,16.351
601,16.250
602,16.204
603,16.162
604,16.395
605,16.214
606,16.075
607,16.197
608,16.191
609,16.397
610,16.229
611,16.231
612,15.809
613,15.805
614,16.035
615,15.835
616,15.866
617,15.861
618,15.996
619,16.105
620,15.899
621,15.854
622,16.026
623,15.738
624,15.659
625,15.801
626,16.060
627,15.627
628,15.578
629,16.083
630,15.855
631,15.882
632,16.073
633,16.043
634,16.002
635,16.675
636,16.164
637,15.980
638,16.044
639,16.614
640,16.509
641,16.504
642,16.003
643,16.267
644,15.962
645,16.131
646,15.880
647,15.992
648,16.209
649,16.145
650,16.228
651,15.840
652,16.507
653,16.134
654,16.224
655,16.517
656,16.407
657,16.335
658,16.142
659,16.170
660,15.534
661,15.823
662,15.949
663,15.820
664,15.902
665,16.021
666,16.081
667,15.980
668,16.242
669,16.062
670,16.063
671,16.662
672,16.381
673,16.096
674,16.091
675,16.395
676,16.363
677,16.653
678,16.516
679,16.163
680,16.418
681,16.198
682,16.175
683,15.907
684,16.083
685,16.267
686,15.902
687,16.196
688,16.405
689,16.314
690,16.152
691,15.961
692,16.160
693,15.811
694,15.566
695,15.405
696,15.707
697,15.670
698,16.161
699,15.978
700,16.177
701,16.220
702,16.145
703,15.675
704,16.046
705,15.690
706,16.137
707,16.414
708,15.951
709,16.572
710,16.424
711,15.639
712,16.042
713,15.686
714,15.976
715,16.001
716,16.016
717,16.173
718,16.287
719,16.101
720,16.072
721,16.108
722,16.412
723,16.057
724,16.093
725,15.811
726,16.211
727,16.288
728,16.831
729,16.646
730,16.432
731,16.039
732,16.441
733,16.192
734,16.000
735,16.186
736,16.253
737,15.875
738,15.803
739,16.156
740,16.158
741,16.233
742,16.485
743,16.435
744,16.236
745,16.361
746,16.242
747,16.045
748,16.287
749,15.800
750,15.628
751,15.774
752,16.014
753,15.789
754,16.310
755,15.722
756,15.733
757,15.574
758,15.357
759,15.527
760,15.402
761,15.549
762,15.578
763,15.566
764,15.664
765,15.340
766,15.777
767,15.768
768,15.583
769,16.175
770,16.261
771,16.305
