GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
43,395.46,761.49,1062.75,85.62,43.31,-73.8,-677.82,-5497.95,589.0,5495.3,-888.01,44.76,2183.36,-843.26,1340.11
44,374.4,754.72,1088.68,76.38,34.16,-65.01,-689.65,-5497.13,563.64,5487.64,-884.92,45.72,2127.82,-839.2,1288.63
45,387.51,724.63,1075.04,83.49,45.51,-64.84,-686.1,-5562.61,581.55,5524.38,-862.91,44.83,2108.55,-818.08,1290.47
46,392.82,760.05,1091.93,84.97,40.67,-58.07,-697.35,-5549.5,563.24,5496.34,-855.3,45.02,2125.1,-810.28,1314.82
47,346.14,708.77,1070.77,77.7,48.94,-66.77,-680.46,-5540.89,573.24,5505.17,-871.66,47.14,2042.61,-824.52,1218.09
48,370.74,722.66,1085.58,84.43,40.05,-57.18,-683.04,-5568.77,560.0,5544.97,-866.26,46.03,2099.44,-820.23,1279.21
49,351.74,740.11,1098.92,85.07,37.4,-53.46,-692.08,-5497.99,575.33,5492.34,-881.0,45.65,2137.38,-835.35,1302.03
50,365.18,706.96,1082.57,83.51,39.46,-64.14,-706.43,-5541.03,555.41,5494.4,-851.33,44.19,2015.89,-807.14,1208.75
51,345.0,721.37,1058.28,76.55,42.19,-48.72,-698.44,-5599.87,561.17,5568.94,-842.74,44.5,2026.46,-798.24,1228.22
52,366.58,740.88,1064.11,83.67,36.31,-58.96,-685.66,-5608.26,578.96,5537.78,-830.5,44.67,2055.41,-785.82,1269.58
53,378.43,727.32,1094.21,86.57,42.57,-64.15,-684.39,-5540.51,571.85,5493.66,-842.38,44.83,2105.57,-797.56,1308.02
54,374.55,761.43,1095.5,87.86,44.33,-52.0,-698.32,-5479.92,568.59,5497.91,-890.93,45.77,2199.92,-845.16,1354.76
55,352.18,767.39,1074.22,83.8,41.07,-74.33,-689.47,-5518.12,564.6,5488.26,-872.63,47.17,2089.61,-825.46,1264.15
56,381.22,762.98,1076.75,83.21,36.3,-61.03,-688.17,-5531.31,568.0,5512.53,-877.07,45.34,2140.47,-831.73,1308.75
57,360.38,720.09,1070.46,75.3,40.92,-54.27,-700.45,-5550.14,560.62,5539.38,-864.51,45.34,2062.29,-819.18,1243.11
58,363.89,722.46,1066.97,81.15,45.13,-60.31,-671.02,-5601.1,570.73,5558.2,-853.08,45.92,2076.09,-807.16,1268.93
59,341.41,702.38,1097.45,74.81,40.38,-66.63,-691.35,-5501.56,587.41,5521.15,-904.84,46.24,2105.44,-858.6,1246.84
60,358.79,723.93,1074.83,77.38,43.46,-66.82,-691.07,-5494.03,576.45,5482.74,-899.15,44.87,2085.65,-854.28,1231.37
61,358.3,731.26,1082.61,80.62,39.93,-73.65,-663.18,-5569.09,570.76,5556.0,-867.95,46.09,2113.56,-821.86,1291.7
62,366.87,726.89,1100.98,85.04,38.36,-78.74,-680.87,-5527.06,558.65,5490.67,-871.48,47.27,2080.78,-824.21,1256.57
63,378.47,727.36,1078.85,76.55,41.71,-84.17,-682.5,-5529.14,570.91,5525.42,-889.48,46.49,2103.46,-842.99,1260.48
64,351.02,719.28,1060.67,75.93,37.11,-75.91,-703.35,-5480.36,574.9,5472.86,-881.24,45.94,2032.15,-835.31,1196.85
65,379.35,725.21,1108.75,78.52,37.89,-60.85,-693.29,-5505.94,559.11,5490.86,-873.42,45.08,2119.61,-828.34,1291.27
66,340.33,716.22,1098.57,80.24,44.25,-57.5,-699.99,-5551.8,566.49,5570.91,-880.49,45.4,2107.74,-835.1,1272.64
67,345.93,725.66,1083.31,80.86,40.83,-67.65,-696.23,-5533.07,573.56,5500.03,-858.92,45.29,2053.23,-813.63,1239.6
68,356.68,713.23,1091.92,77.99,47.74,-77.48,-685.81,-5502.28,572.12,5497.18,-882.74,45.46,2091.31,-837.29,1254.02
69,380.71,740.88,1082.82,77.59,46.74,-68.41,-676.09,-5518.51,555.08,5490.1,-873.7,44.63,2110.91,-829.07,1281.84

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,18178777.22,2045.02,77.22,4144505.42,0.0,0.0,-14.12,-21.87,94.72,-4.87,-28.19,10.64,22325458.74,-17.55,22325441.19
2,4807188.43,436.86,45.24,1312824.03,0.0,0.0,-28.36,-42.01,116.16,-9.17,-12.22,9.38,6120531.19,-2.85,6120528.35
3,7618772.76,970.56,56.53,1252246.56,0.0,0.0,-33.0,-39.51,115.36,-1.04,-12.87,9.24,8872088.21,-3.63,8872084.57
4,12981117.76,1910.78,178.61,2341783.4,0.0,0.0,-22.98,-40.83,109.19,2.45,-17.67,10.02,15325038.39,-7.66,15325030.73
5,13971895.32,1319.39,151.02,2979111.17,0.0,0.0,-23.44,-31.22,100.72,1.02,-34.75,10.47,16952523.98,-24.28,16952499.7
6,11752353.75,934.13,151.96,3272681.26,0.0,0.0,-15.85,-35.55,99.39,-4.71,-22.78,11.6,15026164.38,-11.19,15026153.19
7,11315549.76,1709.09,52.83,2788942.1,0.0,0.0,-21.93,-38.06,106.15,-3.04,-19.23,11.13,14106296.9,-8.1,14106288.8
8,4837485.01,887.04,80.11,759973.96,0.0,0.0,-32.9,-45.28,113.06,-1.52,-12.21,9.17,5598459.48,-3.04,5598456.44
9,7775040.29,600.54,102.75,2008964.42,0.0,0.0,-23.32,-40.46,111.34,-0.06,-23.5,10.04,9784755.5,-13.46,9784742.04
10,14406323.43,1196.48,186.39,2883677.66,0.0,0.0,-18.68,-51.51,105.47,4.03,-26.78,10.43,17291423.26,-16.36,17291406.9
11,7777840.07,399.13,135.28,1905598.69,0.0,0.0,-23.37,-38.29,111.34,-2.76,-21.79,10.37,9684020.08,-11.42,9684008.66
12,25617517.42,2111.33,176.5,4389232.17,0.0,0.0,-17.61,-33.65,91.7,-8.28,-37.65,11.98,30009069.57,-25.67,30009043.9
13,23957711.69,2528.06,125.47,4062039.76,0.0,0.0,-16.08,-35.66,90.15,4.47,-44.24,11.6,28022447.86,-32.65,28022415.21
14,19293228.03,1863.56,138.01,3608778.29,0.0,0.0,-12.24,-43.76,101.23,5.27,-31.61,11.9,22904058.4,-19.71,22904038.69
15,9526942.17,1564.38,84.74,2960929.01,0.0,0.0,-22.3,-35.4,103.69,6.36,-17.18,11.13,12489572.65,-6.05,12489566.6
16,9682348.54,780.34,93.77,1260991.73,0.0,0.0,-24.87,-42.12,122.39,2.94,-36.73,9.43,10944272.73,-27.3,10944245.42
17,8665384.89,621.83,119.52,2191669.18,0.0,0.0,-22.59,-36.63,109.3,-6.96,-20.9,10.39,10857838.55,-10.51,10857828.04
18,4457646.29,287.94,65.4,463783.04,0.0,0.0,-27.9,-41.98,116.87,-2.97,-13.76,8.73,4921826.7,-5.03,4921821.67
19,33.65,42.17,42.25,14.72,0.0,0.0,-34.25,-44.02,123.17,-1.82,-6.99,8.68,175.88,1.7,177.57
20,40.41,49.3,49.04,13.18,0.0,0.0,-34.87,-45.44,116.3,-3.05,-5.26,8.29,184.88,3.03,187.91
21,41.16,43.61,45.74,13.12,0.0,0.0,-32.96,-42.49,118.31,-4.92,-5.92,8.44,181.58,2.52,184.1
22,43.88,48.92,47.09,15.56,0.0,0.0,-29.24,-44.05,113.94,-3.98,-6.51,8.65,192.11,2.14,194.25
23,33.89,36.81,39.36,11.32,0.0,0.0,-31.01,-45.34,119.01,-2.43,-5.87,8.5,161.61,2.63,164.24
24,40.14,46.95,46.2,14.28,0.0,0.0,-31.16,-42.98,118.06,-1.92,-5.25,8.09,189.57,2.85,192.42
