GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
62,967.96,2265.2,2568.03,233.45,177.89,-281.11,-1892.14,-22121.89,811.66,20231.37,-3008.35,152.3,2960.42,-2856.05,104.38
63,967.12,2355.98,2579.33,235.71,177.43,-273.81,-1906.07,-22000.26,806.88,20191.12,-3015.63,151.25,3133.42,-2864.38,269.04
64,919.14,2296.65,2550.28,229.78,173.73,-265.85,-1910.11,-22076.27,831.63,20243.11,-3007.39,151.08,2992.08,-2856.31,135.78
65,972.04,2376.9,2572.27,233.62,186.61,-279.06,-1902.34,-22051.5,808.88,20131.17,-2984.36,153.75,3048.59,-2830.61,217.98
66,1018.45,2296.72,2564.54,242.21,180.53,-295.77,-1881.01,-21989.11,803.85,20145.21,-3033.14,155.55,3085.62,-2877.59,208.03
67,1011.01,2323.91,2535.62,232.31,190.32,-271.26,-1890.45,-21881.22,801.34,20205.68,-3161.34,156.14,3257.26,-3005.2,252.06
68,1000.8,2284.61,2550.34,235.28,181.11,-284.42,-1872.99,-21991.15,795.62,20226.87,-3110.64,154.88,3126.08,-2955.76,170.32
69,980.14,2287.15,2532.25,231.83,157.77,-271.28,-1865.93,-21997.87,818.8,20202.38,-3063.24,155.26,3075.24,-2907.97,167.26
70,983.75,2222.14,2543.39,233.71,173.23,-293.64,-1893.35,-21892.79,787.54,20143.81,-3138.93,152.29,3007.8,-2986.63,21.17
71,979.5,2365.27,2566.72,240.04,184.19,-288.17,-1879.5,-21845.63,812.73,20139.79,-3120.98,153.76,3274.93,-2967.22,307.7
72,969.38,2284.37,2566.14,222.13,174.05,-268.1,-1877.53,-21845.33,799.15,20186.06,-3173.23,153.14,3210.32,-3020.09,190.23
73,1005.62,2310.69,2566.83,238.06,162.44,-257.02,-1927.67,-21969.61,793.08,20151.97,-3010.56,152.36,3074.39,-2858.19,216.2
74,997.35,2339.76,2551.52,223.3,190.86,-263.81,-1893.68,-21877.11,772.87,20066.89,-3094.0,153.16,3107.94,-2940.84,167.1
75,985.59,2377.34,2578.82,240.73,184.6,-273.71,-1888.29,-21773.01,775.9,20058.31,-3144.34,152.92,3266.27,-2991.42,274.85
76,985.6,2331.24,2557.92,232.7,160.05,-284.62,-1880.42,-21903.09,792.45,20114.02,-3095.33,150.92,3105.86,-2944.42,161.45
77,1012.37,2296.18,2554.94,223.73,177.31,-279.51,-1868.19,-21922.95,798.06,20146.38,-3093.0,153.26,3138.32,-2939.74,198.58
78,1017.3,2286.24,2557.94,234.28,185.87,-273.46,-1870.77,-21999.96,801.22,20176.28,-3036.58,151.95,3114.94,-2884.63,230.31
79,987.31,2414.13,2576.04,234.89,175.2,-289.2,-1893.95,-21961.55,791.01,20096.85,-3054.27,152.42,3130.73,-2901.84,228.88
80,1012.83,2291.42,2553.45,229.32,169.72,-280.85,-1891.4,-22012.29,818.74,20216.42,-3081.89,151.1,3107.36,-2930.79,176.57
81,986.7,2324.17,2525.28,233.66,189.87,-292.45,-1878.42,-22006.35,798.96,20163.59,-3052.25,154.38,3044.99,-2897.88,147.11
82,946.49,2329.53,2534.59,223.95,166.7,-278.33,-1885.42,-21843.66,790.0,20038.16,-3094.01,153.67,3022.02,-2940.35,81.68
83,982.15,2379.05,2537.48,230.31,178.69,-284.36,-1893.06,-21966.43,802.08,20218.32,-3072.84,154.14,3184.23,-2918.7,265.53
84,1003.13,2261.17,2560.11,234.59,170.05,-266.32,-1873.82,-21957.8,813.4,20107.63,-3026.16,154.9,3052.14,-2871.26,180.88
85,992.0,2316.73,2560.6,241.74,170.18,-275.18,-1902.21,-21954.03,780.06,20114.08,-3051.83,152.93,3043.97,-2898.9,145.07
86,974.4,2350.87,2551.58,237.78,169.75,-291.8,-1886.9,-22016.0,773.01,20196.97,-3057.71,155.25,3059.66,-2902.46,157.2
87,1006.0,2336.94,2565.29,237.0,170.38,-274.8,-1859.92,-21916.4,800.18,20090.62,-3069.51,155.18,3155.29,-2914.33,240.96
88,966.44,2279.74,2545.38,220.41,154.13,-269.91,-1879.89,-21919.94,803.78,20127.32,-3066.84,156.95,3027.47,-2909.89,117.58
89,976.87,2237.25,2556.69,230.17,169.5,-236.52,-1909.9,-22009.84,785.4,20188.97,-3011.56,154.46,2988.6,-2857.1,131.5
90,977.32,2309.66,2542.38,232.3,172.74,-286.59,-1866.66,-21986.92,784.22,20163.34,-3072.85,160.6,3041.78,-2912.25,129.53
91,958.37,2395.42,2557.84,236.97,195.03,-273.53,-1843.46,-21951.27,817.36,20206.04,-3095.52,155.15,3298.78,-2940.37,358.4
92,971.64,2328.81,2542.32,233.62,184.23,-248.68,-1871.19,-21888.77,801.33,20186.88,-3151.06,158.58,3240.17,-2992.47,247.7
93,958.05,2252.21,2547.64,225.64,186.11,-267.47,-1848.17,-21928.66,828.68,20156.17,-3097.3,155.18,3110.2,-2942.12,168.08
94,922.71,2225.2,2554.91,224.15,158.97,-266.26,-1865.34,-22062.32,782.79,20218.68,-3010.19,156.58,2893.49,-2853.61,39.88
95,944.09,2302.45,2565.09,231.04,176.04,-266.06,-1862.61,-22049.8,818.73,20263.41,-3076.28,154.68,3122.38,-2921.61,200.77
96,1005.12,2368.23,2588.41,256.12,172.83,-278.13,-1868.7,-22081.82,785.22,20167.27,-2986.47,154.06,3114.55,-2832.42,282.14
97,977.1,2269.04,2572.91,227.87,160.54,-281.7,-1845.16,-22086.16,809.13,20258.07,-3020.37,155.75,3061.65,-2864.63,197.02
98,997.58,2391.14,2550.76,243.88,184.29,-275.02,-1845.76,-22029.27,803.83,20144.25,-3038.37,155.7,3165.69,-2882.67,283.03
99,978.77,2294.49,2541.74,228.69,169.35,-276.56,-1895.05,-22007.81,802.84,20222.45,-3062.97,153.67,3058.91,-2909.31,149.61
100,986.63,2396.82,2563.2,250.19,181.68,-261.87,-1875.21,-22015.05,800.88,20197.14,-3054.15,157.71,3224.4,-2896.44,327.96
101,1000.48,2284.41,2525.99,230.09,184.15,-253.79,-1848.69,-22097.31,797.71,20229.35,-2992.58,156.78,3052.39,-2835.81,216.58
102,965.42,2362.89,2573.68,233.0,195.81,-267.04,-1888.55,-22065.73,796.72,20217.68,-3004.03,154.27,3123.88,-2849.76,274.12
103,992.3,2392.71,2509.51,235.43,180.69,-255.91,-1844.19,-22118.13,807.61,20232.08,-2963.29,155.82,3132.09,-2807.47,324.62
104,1023.37,2431.53,2568.14,248.53,173.92,-268.99,-1863.42,-22052.81,784.78,20165.01,-2993.17,155.53,3210.05,-2837.64,372.41
105,999.39,2322.04,2518.13,236.05,194.3,-282.65,-1861.99,-22105.04,788.66,20206.67,-2956.04,158.52,3015.57,-2797.52,218.05
106,985.41,2399.52,2558.22,236.37,181.12,-270.54,-1867.74,-22111.1,795.18,20228.33,-2961.1,156.95,3134.76,-2804.16,330.6
107,995.73,2322.31,2546.73,227.6,179.74,-256.73,-1876.3,-22132.11,794.64,20298.17,-2965.12,157.19,3099.78,-2807.93,291.86
108,1002.84,2337.73,2535.84,239.68,184.57,-259.48,-1857.0,-22073.59,809.02,20204.77,-2970.11,155.61,3124.4,-2814.5,309.89
109,991.55,2349.64,2517.83,240.9,163.8,-269.53,-1826.52,-22149.97,807.05,20259.82,-2992.88,160.23,3084.57,-2832.65,251.93
110,967.64,2294.05,2541.52,234.03,171.1,-252.66,-1892.02,-22120.77,777.74,20308.81,-3021.7,156.45,3029.44,-2865.25,164.19
111,953.17,2349.87,2534.59,224.0,178.61,-263.49,-1852.56,-22104.07,790.39,20362.34,-3080.54,157.59,3172.86,-2922.95,249.91
112,942.59,2318.62,2519.36,229.35,174.98,-267.35,-1886.27,-22160.86,787.04,20304.57,-2955.32,156.09,2962.04,-2799.23,162.81
113,918.04,2329.99,2519.9,238.6,185.22,-267.08,-1861.98,-22124.44,804.66,20181.8,-2944.57,156.1,2924.71,-2788.47,136.24
114,994.88,2339.86,2524.44,238.97,177.24,-267.68,-1822.2,-22051.53,800.52,20197.05,-3031.01,159.36,3131.55,-2871.64,259.91
115,972.06,2344.63,2558.88,237.23,170.82,-260.48,-1843.83,-22160.42,800.52,20262.83,-2951.56,159.38,3082.23,-2792.17,290.06
116,983.42,2224.5,2531.51,241.85,175.45,-259.99,-1846.58,-22195.19,821.16,20271.25,-2917.22,156.41,2947.37,-2760.81,186.55
117,946.97,2239.9,2511.16,235.24,190.14,-255.99,-1824.32,-22203.67,794.1,20322.86,-2960.46,157.63,2956.38,-2802.83,153.55
118,969.97,2379.97,2500.91,246.39,170.73,-253.51,-1845.49,-22108.19,803.72,20262.95,-3021.06,158.32,3127.43,-2862.74,264.69
119,1014.85,2325.85,2513.88,227.22,171.13,-263.02,-1844.39,-22112.76,793.24,20184.12,-2972.81,159.41,3010.13,-2813.39,196.74
120,997.31,2411.55,2544.74,252.72,199.05,-264.74,-1857.12,-22145.82,814.93,20267.14,-2996.3,158.04,3219.74,-2838.26,381.48
121,938.77,2238.71,2490.54,241.37,175.4,-247.7,-1829.5,-22135.14,815.06,20211.35,-2962.14,160.0,2898.85,-2802.14,96.71

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,40.84,46.42,47.42,15.93,0.0,0.0,-20.07,-26.5,116.77,-6.15,-10.36,8.4,214.66,-1.97,212.69
2,54.75,47.54,49.89,15.36,0.0,0.0,-27.4,-40.88,108.13,-4.08,-9.07,8.78,203.31,-0.28,203.03
3,47.15,44.78,50.16,13.96,0.0,0.0,-25.38,-42.05,118.37,-4.64,-8.64,8.99,202.36,0.36,202.72
4,38.9,40.83,48.13,12.63,0.0,0.0,-32.51,-42.95,120.0,-4.03,-7.38,8.67,181.02,1.29,182.3
5,35.59,51.09,45.98,15.16,0.0,0.0,-32.46,-41.91,123.01,-4.11,-8.1,8.71,192.34,0.61,192.95
6,42.94,37.75,45.73,10.84,0.0,0.0,-30.92,-40.44,117.02,-3.17,-7.88,8.65,179.75,0.76,180.52
7,45.39,46.39,47.67,17.56,0.0,0.0,-28.71,-41.27,117.67,-4.22,-8.39,8.75,200.5,0.36,200.86
8,45.14,48.61,48.31,14.25,0.0,0.0,-30.07,-41.63,119.21,-3.24,-6.88,8.4,200.58,1.52,202.1
9,36.96,46.54,49.94,14.02,0.0,0.0,-30.52,-43.24,121.74,-4.13,-7.83,8.88,191.3,1.05,192.35
10,39.72,38.97,47.95,13.87,0.0,0.0,-34.82,-40.58,118.81,-4.32,-7.57,8.39,179.58,0.82,180.39
11,41.19,46.95,48.75,13.71,0.0,0.0,-30.76,-41.12,114.78,-4.28,-7.96,8.84,189.2,0.88,190.07
12,48.22,48.41,53.71,17.04,0.0,0.0,-30.77,-40.06,127.15,-4.43,-7.33,8.61,219.26,1.28,220.55
